domain,outgoing_links,visit_count
eo.wikipedia.org,173,1
bn.wikipedia.org,156,1
gv.wikipedia.org,139,1
pa.wikipedia.org,209,1
en.wiktionary.org,223,1
jam.wikipedia.org,122,1
uk.wikipedia.org,159,1
ko.wikipedia.org,239,1
km.wikipedia.org,120,1
sd.wikipedia.org,126,1
sr.wikipedia.org,2097,1
simple.wikipedia.org,244,1
en.wikipedia.org,2269,261
ja.wikipedia.org,2300,1
donate.wikimedia.org,37,1
fa.wikipedia.org,432,1
el.wikipedia.org,528,1
commons.wikimedia.org,614,1
ha.wikipedia.org,169,1
creativecommons.org,120,1
ta.wikipedia.org,786,1
sa.wikipedia.org,164,1
nov.wikipedia.org,129,1
tr.wikipedia.org,408,1
arz.wikipedia.org,206,1
ur.wikipedia.org,887,1
la.wikipedia.org,161,1
ca.wikipedia.org,154,1
es.wikipedia.org,508,1
syl.wikipedia.org,132,1
ug.wikipedia.org,115,1
da.wikipedia.org,176,1
ru.wikipedia.org,207,1
th.wikipedia.org,184,1
zu.wikipedia.org,148,1
vi.wikipedia.org,1149,1
pl.wikipedia.org,246,1
ar.wikipedia.org,1489,1
zh.wikipedia.org,672,1
wikidata.org,212,1
yi.wikipedia.org,133,1
or.wikipedia.org,143,1
si.wikipedia.org,124,1
kn.wikipedia.org,153,1
lt.wikipedia.org,297,1
