domain,pagerank_score
uudised.err.ee,0.001472
fi.wikipedia.org,0.002215
dx.doi.org,0.001470
books.google.es,0.001470
imdb.com,0.001467
mail.findexa.lt,0.001474
search.worldcat.org,0.001475
reta-vortaro.de,0.001470
npr.org,0.001474
ka.wikipedia.org,0.003119
lionsrugby.com,0.001467
udiscovermusic.com,0.001467
espn.com,0.001471
az.wikipedia.org,0.003672
cricket.ee,0.001472
gramota.ru,0.001477
thoughtco.com,0.001471
player.hu,0.001471
upetd.up.ac.za,0.001471
cricketwestindies.org,0.001480
bn.wikipedia.org,0.005377
iabotmemento.invalid,0.001470
medium.com,0.001471
cricketarchive.com,0.001558
cricket.dk,0.001473
dk.wikimedia.org,0.001473
baseballhall.org,0.001470
io.wiktionary.org,0.001485
thecrucibleonscreen.com,0.001471
wikidata-externalid-url.toolforge.org,0.001471
gn.wikipedia.org,0.003011
cricketeurope4.net,0.001481
dlc.iec.cat,0.001471
ca.wiktionary.org,0.001471
aleph.nkp.cz,0.001625
lsm.lv,0.001472
kn.wikipedia.org,0.006666
sports.tv3.lv,0.001472
4k.mk,0.001482
mai.wikipedia.org,0.004227
books.google.co.nz,0.001468
cricketchile.cl,0.001471
timesofindia.indiatimes.com,0.001468
mathrubhumi.com,0.001472
luxembourgcricket.org,0.001484
fr.wikinews.org,0.001467
optimists.cc,0.001473
lccn.loc.gov,0.001471
old.developmentgateway.org,0.001472
korabreak.com,0.001472
krugosvet.ru,0.001478
be.wikisource.org,0.001479
lt.wikipedia.org,0.003275
wikiwook.ir,0.001472
snl.no,0.001476
mycricketgame.com,0.001472
static.icc-cricket.com,0.001496
youtube.com,0.001493
pms.wikipedia.org,0.002215
portaldaspalabras.gal,0.001468
meshb.nlm.nih.gov,0.001512
developer.wikimedia.org,0.002514
webcitation.org,0.002261
hindiadda.xyz,0.001471
cricketworld4u.com,0.001469
ko.wikivoyage.org,0.001471
sportingo.com,0.001471
ecb.co.uk,0.001514
themonitor.ca,0.001474
ko.wikiquote.org,0.001471
sportsadvice.decathlon.in,0.001472
nemzetisport.hu,0.001471
sportstrends.tv,0.001472
cricketcompanion.in,0.001472
cricwick.net,0.001472
ynet.co.il,0.001472
anp.wikipedia.org,0.003498
anneahira.com,0.001474
tl.wikipedia.org,0.002215
clt20.com,0.001466
calcalist.co.il,0.001472
skysports.com,0.001467
makorrishon.co.il,0.001472
sat.wikipedia.org,0.002215
he.wikiquote.org,0.001481
xtools.wmcloud.org,0.001470
ign.com,0.001468
